,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3041,39.0126,-120.5886,314.6,1.0,1.0,2015-01-25,607,Terra,MODIS,90,6.2,284.6,14.9,N,0
4668,39.4017,-122.5874,344.7,1.2,1.1,2015-01-29,1921,Terra,MODIS,94,6.2,292.0,66.6,D,0
5803,38.9498,-120.398,376.1,2.0,1.4,2015-02-05,1927,Terra,MODIS,100,6.2,284.9,374.0,D,0
5804,38.9452,-120.3769,341.0,2.0,1.4,2015-02-05,1927,Terra,MODIS,92,6.2,281.7,125.7,D,0
5807,38.9418,-120.3837,346.4,2.0,1.4,2015-02-05,1927,Terra,MODIS,94,6.2,282.5,150.2,D,0
5808,38.9463,-120.4048,351.9,2.0,1.4,2015-02-05,1927,Terra,MODIS,97,6.2,283.0,180.9,D,0
5837,39.8358,-120.60600000000001,339.4,1.0,1.0,2015-02-05,2107,Aqua,MODIS,91,6.2,282.6,45.1,D,0
11959,39.5469,-122.1611,350.2,1.0,1.0,2015-02-25,1903,Terra,MODIS,96,6.2,292.5,61.4,D,0
12413,39.388000000000005,-122.2573,337.3,1.8,1.3,2015-03-03,2144,Aqua,MODIS,90,6.2,296.2,83.7,D,0
12689,39.2238,-122.2313,347.7,1.2,1.1,2015-03-05,2132,Aqua,MODIS,95,6.2,303.4,65.4,D,0
13904,38.6436,-121.1765,338.2,1.1,1.0,2015-03-09,2107,Aqua,MODIS,90,6.2,304.3,36.4,D,0
13910,39.2484,-122.1956,338.2,1.1,1.1,2015-03-09,2107,Aqua,MODIS,90,6.2,309.3,35.6,D,0
13911,39.31,-122.2051,364.1,1.1,1.1,2015-03-09,2107,Aqua,MODIS,100,6.2,313.1,102.8,D,0
18676,39.566,-122.1152,336.7,1.2,1.1,2015-03-21,2132,Aqua,MODIS,90,6.2,304.4,39.3,D,0
19470,38.6992,-121.5561,337.3,1.0,1.0,2015-03-23,2119,Aqua,MODIS,90,6.2,293.6,36.6,D,0
20361,38.3392,-121.6093,339.9,1.2,1.1,2015-03-27,1915,Terra,MODIS,91,6.2,307.4,46.2,D,0
20514,39.53,-122.1481,347.1,1.5,1.2,2015-03-27,2055,Aqua,MODIS,94,6.2,309.7,83.3,D,0
20515,39.532,-122.1556,340.5,1.5,1.2,2015-03-27,2055,Aqua,MODIS,91,6.2,309.8,62.0,D,0
21902,39.275999999999996,-122.1609,367.7,1.0,1.0,2015-03-29,1903,Terra,MODIS,100,6.2,311.0,99.2,D,0
21955,39.3537,-121.8512,346.0,2.2,1.4,2015-03-29,2043,Aqua,MODIS,93,6.2,313.2,146.7,D,0
23809,39.2611,-122.2309,340.8,1.2,1.1,2015-03-31,1851,Terra,MODIS,92,6.2,306.4,48.5,D,0
23823,39.2512,-122.2327,342.7,1.2,1.1,2015-03-31,1851,Terra,MODIS,93,6.2,305.4,52.3,D,0
25407,40.7395,-121.3913,336.3,1.3,1.1,2015-04-03,1921,Terra,MODIS,90,6.2,275.3,56.5,D,0
25488,39.4707,-121.7708,342.9,1.2,1.1,2015-04-03,2101,Aqua,MODIS,92,6.2,311.2,50.2,D,0
30576,39.3388,-122.2294,348.7,1.3,1.1,2015-04-19,2102,Aqua,MODIS,93,6.2,318.4,63.8,D,0
40989,40.1903,-121.1631,351.3,1.0,1.0,2015-06-17,1903,Terra,MODIS,95,6.2,308.3,53.4,D,0
40990,40.1815,-121.1653,375.7,1.0,1.0,2015-06-17,1903,Terra,MODIS,100,6.2,317.5,124.3,D,0
40992,40.1832,-121.1768,366.5,1.0,1.0,2015-06-17,1903,Terra,MODIS,100,6.2,315.0,93.8,D,0
40997,39.0925,-121.3652,350.9,1.0,1.0,2015-06-17,1904,Terra,MODIS,95,6.2,320.5,41.5,D,0
41041,39.0813,-121.3828,354.5,2.1,1.4,2015-06-17,2043,Aqua,MODIS,97,6.2,317.2,158.9,D,0
41042,39.0935,-121.3873,343.1,2.1,1.4,2015-06-17,2043,Aqua,MODIS,90,6.2,318.6,83.3,D,0
41540,39.3021,-121.291,359.1,1.2,1.1,2015-06-18,2126,Aqua,MODIS,99,6.2,314.4,84.0,D,0
67644,38.4042,-122.0774,343.6,1.0,1.0,2015-07-06,2113,Aqua,MODIS,90,6.2,307.2,43.1,D,0
76677,38.4778,-122.09899999999999,375.8,1.8,1.3,2015-07-23,639,Terra,MODIS,100,6.2,297.7,320.9,N,0
76679,38.4796,-122.0773,384.8,1.8,1.3,2015-07-23,639,Terra,MODIS,100,6.2,303.1,408.2,N,0
76680,38.4897,-122.0988,345.9,1.8,1.3,2015-07-23,639,Terra,MODIS,100,6.2,294.5,124.2,N,0
76682,38.4678,-122.0754,352.1,1.8,1.3,2015-07-23,639,Terra,MODIS,100,6.2,296.5,157.5,N,0
76827,38.4633,-122.0766,346.0,1.7,1.3,2015-07-23,1839,Terra,MODIS,92,6.2,300.4,97.7,D,0
77061,38.4759,-122.1028,316.8,1.9,1.4,2015-07-24,544,Terra,MODIS,94,6.2,291.4,39.6,N,0
78817,39.2129,-120.8551,315.8,1.1,1.0,2015-07-27,614,Terra,MODIS,92,6.2,290.2,15.7,N,0
78819,39.2296,-120.8717,376.6,1.1,1.0,2015-07-27,614,Terra,MODIS,100,6.2,298.7,153.6,N,0
78820,39.2312,-120.8595,336.9,1.1,1.0,2015-07-27,614,Terra,MODIS,100,6.2,292.6,42.6,N,0
78821,39.2114,-120.8673,315.3,1.1,1.0,2015-07-27,614,Terra,MODIS,91,6.2,291.0,15.1,N,0
78822,39.2205,-120.8695,339.7,1.1,1.0,2015-07-27,614,Terra,MODIS,100,6.2,294.6,47.3,N,0
78823,39.2221,-120.8572,332.3,1.1,1.0,2015-07-27,614,Terra,MODIS,100,6.2,292.4,35.4,N,0
78895,39.2274,-120.8633,319.1,1.5,1.2,2015-07-27,1027,Aqua,MODIS,98,6.2,292.0,31.3,N,0
78896,39.224000000000004,-120.8462,317.4,1.5,1.2,2015-07-27,1027,Aqua,MODIS,95,6.2,290.4,28.5,N,0
79106,39.2266,-120.8502,346.0,1.4,1.2,2015-07-27,2131,Aqua,MODIS,91,6.2,300.3,77.0,D,0
79107,39.2218,-120.85600000000001,350.2,1.4,1.2,2015-07-27,2131,Aqua,MODIS,94,6.2,304.4,92.5,D,0
